p_val,avg_log2FC,pct.1,pct.2,p_val_adj,SYMBOL,ENTREZID,ENSEMBL
8.018599515048097e-78,-1.7586998503450562,0.015,0.047,9.889338781908814e-74,RBM47,54502,ENSG00000163694
2.577594111651521e-77,0.23524113592955587,0.851,0.819,3.178946817899821e-73,HCST,10870,ENSG00000126264
1.3321283680443899e-76,-2.6178328040426235,0.004,0.025,1.6429139163091466e-72,CCNA2,890,ENSG00000145386
1.7327670757091426e-76,-2.597371101156859,0.004,0.025,2.1370216344720857e-72,JDP2,122953,ENSG00000140044
5.262883914738607e-76,-1.727811243874049,0.014,0.045,6.490714732047124e-72,IRAK3,11213,ENSG00000090376
8.54313386877292e-76,-0.45848516727867594,0.113,0.182,1.0536247000357644e-71,GZMK,3003,ENSG00000113088
1.7321280874661183e-75,-1.856512594485664,0.009,0.036,2.136233570271964e-71,GINS2,51659,ENSG00000131153
3.412339418803871e-75,-0.5449508519228549,0.161,0.237,4.208438205210814e-71,RAP1GDS1,5910,ENSG00000138698
1.2963494797285076e-74,-1.7018022613698252,0.014,0.044,1.5987878133491686e-70,CD68,968,ENSG00000129226
3.070554673707807e-74,-1.8954538995523709,0.012,0.04,3.7869150790838386e-70,ACRBP,84519,ENSG00000111644
3.4054239882825925e-74,-0.5771851778332597,0.214,0.294,4.1999094047489216e-70,PTGDS,5730,ENSG00000107317
6.23516979183714e-74,-0.3232730692350776,0.528,0.609,7.689834904272747e-70,MYH9,4627,ENSG00000100345
6.818165090724361e-74,-1.9332402658200023,0.007,0.032,8.408843006390356e-70,DTL,51514,ENSG00000143476
1.59683409237327e-73,-1.2587372825484089,0.029,0.067,1.9693754861239538e-69,TXNDC5,81567,ENSG00000239264
1.8487773507648105e-73,-1.2742345407882874,0.048,0.095,2.2800971066982408e-69,PGRMC1,10857,ENSG00000101856
2.4797131975511036e-73,-2.3343538667650776,0.005,0.026,3.0582302865397767e-69,CLIC4,25932,ENSG00000169504
3.132044382614335e-73,-1.6486285997511656,0.012,0.041,3.86275033707826e-69,CLSPN,63967,ENSG00000092853
1.6183796497948462e-72,-2.16253988823659,0.007,0.031,1.9959476220919836e-68,RNF144B,255488,ENSG00000137393
1.673385425539186e-72,-1.495422841405385,0.011,0.038,2.063786245317478e-68,TK1,7083,ENSG00000167900
2.7943480730653217e-72,-0.3340536555263238,0.705,0.748,3.446269478511461e-68,OAZ1,4946,ENSG00000104904
1.1182910803878013e-71,-2.2015906411575745,0.005,0.026,1.3791883894422754e-67,ASPM,259266,ENSG00000066279
1.0664158990767572e-70,-1.8762390611101485,0.009,0.035,1.3152107283313647e-66,TPX2,22974,ENSG00000088325
1.3691979228518192e-70,0.505681260999447,0.424,0.345,1.688631798253149e-66,MT2A,4502,ENSG00000125148
1.3583525037219039e-69,-1.5203394156280456,0.012,0.039,1.6752561428402241e-65,RBBP8,5932,ENSG00000101773
1.0636609122792987e-68,-0.6867198325227235,0.069,0.122,1.3118130031140591e-64,TFEB,7942,ENSG00000112561
1.4552013407138649e-68,-1.9657652810274977,0.008,0.031,1.79469981350241e-64,CENPF,1063,ENSG00000117724
1.581705126440615e-68,-0.36041024679916145,0.372,0.461,1.9507169324392108e-64,CFLAR,8837,ENSG00000003402
2.337890779431813e-68,-2.334163045737242,0.008,0.032,2.8833206982732553e-64,TPST1,8460,ENSG00000169902
4.480501378394034e-68,0.1488049369821347,0.945,0.938,5.525802349973362e-64,FAU,2197,ENSG00000149806
7.425268528805341e-67,-0.2305475111659261,0.716,0.772,9.157583676575626e-63,VIM,7431,ENSG00000026025
7.5161787436081e-67,0.1333750767650539,0.97,0.976,9.26970324449187e-63,RPL28,6158,ENSG00000108107
1.8160260957995524e-66,0.17436047669264898,0.905,0.893,2.239704983949588e-62,NACA,4666,ENSG00000196531
1.9482216762407222e-66,0.5585581275017644,0.389,0.32,2.4027417933076823e-62,DNAJB1,3337,ENSG00000132002
2.2023217666497369e-66,-1.704208762971009,0.008,0.031,2.7161234348091204e-62,HMGB3,3149,ENSG00000029993
3.2764890260074083e-66,0.7106033997173475,0.264,0.199,4.040893915774936e-62,NDUFB1,4707,ENSG00000183648
5.977028820848453e-66,-0.25060352153968113,0.671,0.741,7.3714696447523956e-62,PRF1,5551,ENSG00000180644
9.769699350723158e-66,-1.8783243366285471,0.008,0.03,1.2048970209246869e-61,CCNB1,891,ENSG00000134057
5.018905074809888e-65,-0.383967096771203,0.274,0.359,6.1898156287630346e-61,MAPK1,5594,ENSG00000100030
5.197893436462879e-65,0.4407953773222413,0.457,0.39,6.410561975189671e-61,NDUFA3,4696,ENSG00000170906
5.197893436462879e-65,0.4407953773222413,0.457,0.39,6.410561975189671e-61,NDUFA3,4696,ENSG00000276061
5.197893436462879e-65,0.4407953773222413,0.457,0.39,6.410561975189671e-61,NDUFA3,4696,ENSG00000276766
5.197893436462879e-65,0.4407953773222413,0.457,0.39,6.410561975189671e-61,NDUFA3,4696,ENSG00000275724
5.197893436462879e-65,0.4407953773222413,0.457,0.39,6.410561975189671e-61,NDUFA3,4696,ENSG00000276220
5.197893436462879e-65,0.4407953773222413,0.457,0.39,6.410561975189671e-61,NDUFA3,4696,ENSG00000278365
5.197893436462879e-65,0.4407953773222413,0.457,0.39,6.410561975189671e-61,NDUFA3,4696,ENSG00000277722
5.197893436462879e-65,0.4407953773222413,0.457,0.39,6.410561975189671e-61,NDUFA3,4696,ENSG00000273642
5.197893436462879e-65,0.4407953773222413,0.457,0.39,6.410561975189671e-61,NDUFA3,4696,ENSG00000274359
5.197893436462879e-65,0.4407953773222413,0.457,0.39,6.410561975189671e-61,NDUFA3,4696,ENSG00000275605
6.454808048254378e-65,-0.2581307788224949,0.719,0.765,7.960714765912123e-61,HNRNPA2B1,3181,ENSG00000122566
6.665211647461509e-65,-0.7099326024708627,0.091,0.148,8.220205524814279e-61,IL6ST,3572,ENSG00000134352
7.954107941683126e-65,-4.345213969529107,0.001,0.014,9.8098013244778e-61,FLT3,2322,ENSG00000122025
9.278261053790789e-65,-0.7654530458205562,0.044,0.087,1.1442879357640178e-60,SLC1A5,6510,ENSG00000105281
1.0540995875688371e-64,-1.2336612608950732,0.016,0.046,1.3000210213486467e-60,MCM4,4173,ENSG00000104738
1.4706757473172737e-64,-0.428174300960787,0.217,0.293,1.8137843991663935e-60,VAV3,10451,ENSG00000134215
1.5416887167682095e-64,0.15573852141413802,0.962,0.969,1.9013646943902327e-60,RPS12,6206,ENSG00000112306
1.595318557148853e-63,-3.9275196582023497,0.001,0.016,1.9675063765316805e-59,EREG,2069,ENSG00000124882
1.9899176883054409e-63,0.384134303469164,0.626,0.576,2.4541654849871003e-59,JUN,3725,ENSG00000177606
4.316292194561896e-63,-1.5987790976392868,0.008,0.031,5.323283163553185e-59,NCAPH,23397,ENSG00000121152
5.91571049234881e-63,-0.536356080726263,0.209,0.28,7.2958457502137865e-59,ANXA5,308,ENSG00000164111
6.606680669582464e-63,-0.34996344840694205,0.476,0.545,8.148019269796054e-59,UQCRH,7388,ENSG00000173660
7.927603712373806e-63,-2.137797290173137,0.004,0.022,9.777113658470615e-59,MND1,84057,ENSG00000121211
1.1200561911436508e-62,-0.8255512391885864,0.053,0.098,1.3813653005374646e-58,SLC7A5,8140,ENSG00000103257
1.140801633111439e-62,0.3095785729891758,0.587,0.517,1.4069506541163377e-58,CD3E,916,ENSG00000198851
1.8226701632228943e-62,-0.9905991570104288,0.069,0.118,2.2478991123027955e-58,FABP5,2171,ENSG00000164687
3.0693271362748884e-62,-0.7273279311048231,0.071,0.121,3.78540115716782e-58,ANKRD28,23243,ENSG00000206560
8.080413487823342e-62,-2.6937044396266225,0.003,0.019,9.965573954532528e-58,MCM10,55388,ENSG00000065328
1.9294562545490525e-61,-2.7042371274571484,0.003,0.021,2.3795983987353466e-57,CDC6,990,ENSG00000094804
3.3208519342668625e-61,-2.689722318189485,0.003,0.02,4.0956066905313215e-57,AURKB,9212,ENSG00000178999
3.7374564453664465e-61,-1.2490096450137056,0.023,0.054,4.609405034070439e-57,SPI1,6688,ENSG00000066336
9.212126624478884e-61,-1.3316014874272764,0.011,0.035,1.1361315765969805e-56,UBE2T,29089,ENSG00000077152
1.650855420926283e-60,-1.586579005837076,0.013,0.039,2.035999990628385e-56,CD9,928,ENSG00000010278
